254,254,254
254,253,252
254,252,250
254,251,248
254,250,247
254,249,245
254,248,243
254,247,241
253,246,239
253,246,237
253,245,235
253,244,233
253,243,231
253,242,230
253,241,228
253,240,226
253,239,224
253,238,222
253,237,220
253,236,218
253,235,216
253,235,214
253,234,213
253,233,211
252,232,209
252,231,207
252,230,205
252,229,203
252,228,201
252,227,199
252,227,197
252,226,196
252,225,194
252,224,192
252,223,190
252,222,188
251,221,186
251,220,184
251,219,182
251,218,180
251,217,178
251,216,177
251,215,175
251,214,173
250,213,171
250,213,169
250,212,167
250,211,165
250,210,163
250,209,162
250,208,160
250,207,158
250,206,156
250,205,154
250,204,152
250,203,151
249,202,149
249,201,147
249,200,145
249,199,143
249,198,141
249,197,140
249,196,138
249,196,136
249,195,134
249,194,132
249,193,130
249,192,128
249,191,127
249,190,125
249,189,123
249,188,121
248,187,119
248,186,117
248,185,115
248,184,113
248,183,111
248,182,110
248,181,108
248,180,106
248,179,104
248,179,102
248,178,100
248,177,98
248,176,96
248,175,94
248,174,93
248,173,91
247,172,89
247,172,87
247,171,85
247,170,83
247,169,81
247,168,79
247,167,77
247,166,76
247,165,74
247,164,72
247,163,70
247,162,68
246,162,66
246,161,64
246,160,62
246,159,60
246,158,58
246,157,57
246,156,55
246,155,53
245,154,51
245,153,49
245,152,47
245,151,45
245,150,43
245,149,41
245,148,40
245,147,38
245,146,36
245,145,34
245,145,32
245,144,30
244,143,28
244,142,26
244,141,24
244,140,23
244,139,21
244,138,19
244,137,17
244,136,15
243,135,15
243,134,15
242,133,15
242,132,15
241,131,15
240,130,15
240,129,15
239,129,15
238,128,15
238,127,15
237,126,15
236,125,15
236,124,15
235,123,15
235,122,15
234,121,15
233,120,15
233,119,15
232,118,15
231,117,15
231,116,15
230,115,15
230,114,15
229,113,14
228,112,14
228,111,14
227,110,14
226,109,14
226,108,14
225,107,14
225,106,14
224,105,14
223,104,14
222,103,14
222,102,14
221,101,14
220,100,14
220,99,14
219,98,14
218,97,14
218,96,14
217,95,14
216,94,14
216,93,14
215,93,14
214,92,14
213,91,14
213,90,14
212,89,14
212,88,14
211,87,14
210,86,14
210,85,14
209,84,14
208,83,14
208,82,14
207,81,14
206,80,14
206,79,14
205,78,14
205,77,14
204,76,14
203,75,14
203,74,14
202,73,14
201,72,14
201,71,14
200,70,14
200,69,14
199,68,14
198,67,14
198,66,13
197,65,13
196,64,13
196,63,13
195,62,13
195,61,13
194,60,13
193,59,13
193,58,13
192,57,13
191,56,13
191,55,13
190,54,13
189,53,13
189,52,13
188,51,13
188,50,13
187,49,13
186,48,13
186,47,13
185,46,13
184,45,13
184,44,13
183,43,13
183,42,13
182,41,13
181,40,13
180,39,13
180,39,13
179,38,13
178,37,13
178,36,13
177,35,12
176,34,12
176,33,12
175,32,12
174,31,12
174,30,12
173,29,12
172,28,12
171,27,12
171,26,12
170,25,12
170,24,12
169,23,12
168,22,12
168,21,12
167,20,12
166,19,12
166,18,12
165,17,12
165,16,12
164,15,12
163,14,12
163,13,12
